"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"mineral water","barbecue sauce","","","","","","","","","","","","","","","","","",""
"spaghetti","chocolate","brownies","white wine","green tea","","","","","","","","","","","","","","",""
"spaghetti","champagne","","","","","","","","","","","","","","","","","",""
"frozen vegetables","spaghetti","mineral water","milk","black tea","french wine","cider","chutney","salmon","","","","","","","","","","",""
"avocado","cider","cake","french fries","melons","","","","","","","","","","","","","","",""
"tomatoes","spaghetti","mineral water","meatballs","milk","chicken","rice","frozen smoothie","shampoo","tomato juice","cauliflower","candy bars","","","","","","","",""
"mineral water","chocolate","","","","","","","","","","","","","","","","","",""
"burger sauce","oil","","","","","","","","","","","","","","","","","",""
"eggs","","","","","","","","","","","","","","","","","","",""
"green tea","","","","","","","","","","","","","","","","","","",""
"meatballs","french wine","","","","","","","","","","","","","","","","","",""
"cake","french fries","hot dogs","sparkling water","","","","","","","","","","","","","","","",""
"soup","eggs","","","","","","","","","","","","","","","","","",""
"chicken","eggs","","","","","","","","","","","","","","","","","",""
"burgers","grated cheese","ground beef","spaghetti","mineral water","chocolate","milk","olive oil","almonds","soda","chicken","green tea","","","","","","","",""
"green tea","","","","","","","","","","","","","","","","","","",""
"turkey","mineral water","whole wheat rice","body spray","energy drink","green tea","","","","","","","","","","","","","",""
"herb & pepper","tomatoes","pepper","mineral water","cooking oil","french fries","frozen smoothie","fresh bread","","","","","","","","","","","",""
"milk","","","","","","","","","","","","","","","","","","",""
"muffins","honey","","","","","","","","","","","","","","","","","",""
"eggs","cookies","","","","","","","","","","","","","","","","","",""
"shrimp","tomatoes","spaghetti","","","","","","","","","","","","","","","","",""
"nonfat milk","","","","","","","","","","","","","","","","","","",""
"tomatoes","spaghetti","","","","","","","","","","","","","","","","","",""
"eggs","champagne","","","","","","","","","","","","","","","","","",""
"herb & pepper","cooking oil","escalope","zucchini","","","","","","","","","","","","","","","",""
"champagne","cookies","green tea","","","","","","","","","","","","","","","","",""
"spaghetti","muffins","","","","","","","","","","","","","","","","","",""
"green tea","","","","","","","","","","","","","","","","","","",""
"shrimp","black tea","eggs","cake","","","","","","","","","","","","","","","",""
"turkey","eggs","","","","","","","","","","","","","","","","","",""
"herb & pepper","mineral water","soup","milk","french wine","pancakes","eggs","honey","oil","champagne","magazines","mayonnaise","","","","","","","",""
"chutney","eggs","body spray","","","","","","","","","","","","","","","","",""
"spaghetti","chocolate","olive oil","fromage blanc","","","","","","","","","","","","","","","",""
"escalope","","","","","","","","","","","","","","","","","","",""
"parmesan cheese","french fries","","","","","","","","","","","","","","","","","",""
"escalope","","","","","","","","","","","","","","","","","","",""
"shrimp","tomatoes","chocolate","eggs","oil","french fries","escalope","mushroom cream sauce","sandwich","","","","","","","","","","",""
"eggs","","","","","","","","","","","","","","","","","","",""
"frozen vegetables","fresh bread","","","","","","","","","","","","","","","","","",""
"ground beef","mineral water","milk","eggs","","","","","","","","","","","","","","","",""
"burgers","ham","whole wheat pasta","pepper","spaghetti","black tea","french wine","chicken","bacon","vegetables mix","pancakes","eggs","barbecue sauce","eggplant","green tea","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"whole wheat pasta","spaghetti","mineral water","almonds","cooking oil","chocolate","mint","","","","","","","","","","","","",""
"pickles","spaghetti","salmon","escalope","","","","","","","","","","","","","","","",""
"green beans","low fat yogurt","","","","","","","","","","","","","","","","","",""
"spaghetti","","","","","","","","","","","","","","","","","","",""
"tomatoes","flax seed","chicken","green tea","chocolate","cottage cheese","","","","","","","","","","","","","",""
"burgers","chocolate","escalope","","","","","","","","","","","","","","","","",""
"hot dogs","","","","","","","","","","","","","","","","","","",""
"cake","french fries","energy drink","","","","","","","","","","","","","","","","",""
"hot dogs","","","","","","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"frozen vegetables","white wine","","","","","","","","","","","","","","","","","",""
"burgers","spaghetti","chicken","pancakes","french fries","","","","","","","","","","","","","","",""
"herb & pepper","tomatoes","ground beef","eggs","cooking oil","","","","","","","","","","","","","","",""
"burgers","ground beef","","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"chocolate","shrimp","pasta","ground beef","","","","","","","","","","","","","","","",""
"grated cheese","shrimp","mineral water","soup","milk","escalope","white wine","","","","","","","","","","","","",""
"herb & pepper","","","","","","","","","","","","","","","","","","",""
"muffins","","","","","","","","","","","","","","","","","","",""
"butter","eggs","","","","","","","","","","","","","","","","","",""
"eggs","cake","gums","","","","","","","","","","","","","","","","",""
"dessert wine","chocolate","spaghetti","salmon","cooking oil","protein bar","hand protein bar","","","","","","","","","","","","",""
"whole wheat rice","chicken","tomato juice","","","","","","","","","","","","","","","","",""
"turkey","herb & pepper","parmesan cheese","ground beef","eggs","french fries","cottage cheese","","","","","","","","","","","","",""
"frozen vegetables","tomatoes","butter","chicken","cereals","green tea","cottage cheese","pancakes","tomato juice","","","","","","","","","","",""
"energy bar","","","","","","","","","","","","","","","","","","",""
"french wine","french fries","","","","","","","","","","","","","","","","","",""
"turkey","french fries","","","","","","","","","","","","","","","","","",""
"eggs","whole wheat rice","chocolate","","","","","","","","","","","","","","","","",""
"shrimp","chocolate","mushroom cream sauce","candy bars","","","","","","","","","","","","","","","",""
"chocolate","french fries","","","","","","","","","","","","","","","","","",""
"mineral water","soup","muffins","pet food","eggplant","low fat yogurt","","","","","","","","","","","","","",""
"tomatoes","milk","almonds","","","","","","","","","","","","","","","","",""
"frozen vegetables","spaghetti","cookies","","","","","","","","","","","","","","","","",""
"burgers","frozen vegetables","spaghetti","energy bar","fromage blanc","eggs","french fries","strawberries","","","","","","","","","","","",""
"shrimp","pasta","chicken","chocolate bread","","","","","","","","","","","","","","","",""
"frozen vegetables","ground beef","almonds","fromage blanc","cooking oil","chocolate","french fries","champagne","","","","","","","","","","","",""
"chocolate","","","","","","","","","","","","","","","","","","",""
"turkey","frozen vegetables","ground beef","spaghetti","soup","olive oil","shallot","","","","","","","","","","","","",""
"grated cheese","mineral water","butter","low fat yogurt","","","","","","","","","","","","","","","",""
"cooking oil","carrots","green tea","escalope","gluten free bar","","","","","","","","","","","","","","",""
"chocolate","salmon","french fries","cookies","tomato juice","","","","","","","","","","","","","","",""
"pancakes","","","","","","","","","","","","","","","","","","",""
"french fries","light mayo","","","","","","","","","","","","","","","","","",""
"ground beef","pepper","milk","olive oil","butter","bug spray","green tea","chocolate","escalope","","","","","","","","","","",""
"escalope","","","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"mineral water","chocolate","soup","","","","","","","","","","","","","","","","",""
"spaghetti","mineral water","soup","cider","chutney","eggs","whole wheat rice","pet food","green tea","","","","","","","","","","",""
"eggs","escalope","","","","","","","","","","","","","","","","","",""
"pepper","pancakes","french fries","tomato juice","","","","","","","","","","","","","","","",""
"yogurt cake","","","","","","","","","","","","","","","","","","",""
"muffins","cereals","strawberries","","","","","","","","","","","","","","","","",""
"vegetables mix","cereals","green tea","","","","","","","","","","","","","","","","",""
"burgers","spaghetti","mineral water","soup","french wine","french fries","light mayo","low fat yogurt","","","","","","","","","","","",""
"mineral water","chicken","green tea","","","","","","","","","","","","","","","","",""
"pet food","","","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"spaghetti","eggs","","","","","","","","","","","","","","","","","",""
"burgers","frozen vegetables","tomatoes","strong cheese","muffins","eggs","french fries","yogurt cake","light mayo","green tea","","","","","","","","","",""
"grated cheese","ground beef","cake","escalope","","","","","","","","","","","","","","","",""
"fresh tuna","chocolate","shrimp","whole wheat pasta","pepper","mineral water","soup","milk","salmon","","","","","","","","","","",""
"mineral water","cereals","antioxydant juice","green tea","french fries","champagne","pancakes","","","","","","","","","","","","",""
"eggs","cake","","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"grated cheese","ground beef","chocolate","french fries","","","","","","","","","","","","","","","",""
"whole wheat rice","french fries","frozen smoothie","escalope","","","","","","","","","","","","","","","",""
"grated cheese","frozen vegetables","brownies","low fat yogurt","","","","","","","","","","","","","","","",""
"mineral water","nonfat milk","cake","","","","","","","","","","","","","","","","",""
"spaghetti","mineral water","avocado","strawberries","","","","","","","","","","","","","","","",""
"pepper","spaghetti","mineral water","milk","pancakes","cake","white wine","green tea","","","","","","","","","","","",""
"ham","grated cheese","frozen vegetables","mineral water","soup","eggs","cereals","chocolate","french fries","","","","","","","","","","",""
"mineral water","soup","eggs","cake","rice","cooking oil","","","","","","","","","","","","","",""
"burgers","tomatoes","mineral water","eggs","french fries","strawberries","green tea","","","","","","","","","","","","",""
"tomatoes","mineral water","olive oil","","","","","","","","","","","","","","","","",""
"ham","tomatoes","avocado","fromage blanc","pancakes","eggs","honey","whole wheat rice","cake","gums","light mayo","","","","","","","","",""
"yogurt cake","honey","","","","","","","","","","","","","","","","","",""
"escalope","","","","","","","","","","","","","","","","","","",""
"grated cheese","spaghetti","mineral water","chicken","nonfat milk","eggs","cake","","","","","","","","","","","","",""
"red wine","tomatoes","ground beef","spaghetti","mineral water","olive oil","chicken","whole wheat rice","chili","chocolate bread","","","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"whole wheat pasta","mineral water","chocolate","pancakes","body spray","","","","","","","","","","","","","","",""
"turkey","eggs","frozen smoothie","","","","","","","","","","","","","","","","",""
"butter","","","","","","","","","","","","","","","","","","",""
"escalope","","","","","","","","","","","","","","","","","","",""
"chocolate","green tea","","","","","","","","","","","","","","","","","",""
"frozen vegetables","mineral water","almonds","bacon","eggs","barbecue sauce","","","","","","","","","","","","","",""
"tomato sauce","yams","","","","","","","","","","","","","","","","","",""
"whole wheat rice","chocolate","french fries","cookies","","","","","","","","","","","","","","","",""
"french wine","bug spray","green beans","","","","","","","","","","","","","","","","",""
"burgers","mineral water","almonds","eggs","whole wheat rice","escalope","","","","","","","","","","","","","",""
"grated cheese","mineral water","avocado","salmon","chocolate","asparagus","","","","","","","","","","","","","",""
"spaghetti","meatballs","chocolate","escalope","","","","","","","","","","","","","","","",""
"milk","chicken","extra dark chocolate","frozen smoothie","low fat yogurt","","","","","","","","","","","","","","",""
"ground beef","mineral water","eggs","yogurt cake","","","","","","","","","","","","","","","",""
"herb & pepper","mineral water","chocolate","milk","salmon","pancakes","eggs","green tea","escalope","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"avocado","butter","low fat yogurt","green tea","","","","","","","","","","","","","","","",""
"soup","melons","salad","","","","","","","","","","","","","","","","",""
"shrimp","","","","","","","","","","","","","","","","","","",""
"chocolate","shrimp","cereals","champagne","green tea","","","","","","","","","","","","","","",""
"mineral water","chocolate","cereals","","","","","","","","","","","","","","","","",""
"chicken","french fries","escalope","","","","","","","","","","","","","","","","",""
"burgers","black tea","eggs","whole wheat rice","","","","","","","","","","","","","","","",""
"cake","french fries","","","","","","","","","","","","","","","","","",""
"frozen vegetables","spaghetti","milk","cider","french fries","","","","","","","","","","","","","","",""
"mineral water","eggs","protein bar","fresh bread","low fat yogurt","","","","","","","","","","","","","","",""
"turkey","burgers","frozen vegetables","ground beef","mineral water","almonds","salmon","barbecue sauce","carrots","hot dogs","","","","","","","","","",""
"red wine","black tea","honey","cake","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"escalope","green tea","","","","","","","","","","","","","","","","","",""
"turkey","burgers","grated cheese","tomatoes","pepper","mineral water","pancakes","whole wheat rice","tomato juice","low fat yogurt","honey","","","","","","","","",""
"pepper","","","","","","","","","","","","","","","","","","",""
"butter","","","","","","","","","","","","","","","","","","",""
"shrimp","spaghetti","butter","eggs","light cream","","","","","","","","","","","","","","",""
"mineral water","pancakes","magazines","","","","","","","","","","","","","","","","",""
"turkey","red wine","frozen vegetables","ground beef","pancakes","pet food","protein bar","","","","","","","","","","","","",""
"almonds","eggs","","","","","","","","","","","","","","","","","",""
"spaghetti","mineral water","cooking oil","escalope","","","","","","","","","","","","","","","",""
"eggs","whole wheat rice","","","","","","","","","","","","","","","","","",""
"cookies","strawberries","","","","","","","","","","","","","","","","","",""
"chili","babies food","","","","","","","","","","","","","","","","","",""
"burgers","frozen vegetables","flax seed","french fries","yogurt cake","","","","","","","","","","","","","","",""
"vegetables mix","escalope","","","","","","","","","","","","","","","","","",""
"frozen vegetables","eggs","chocolate","","","","","","","","","","","","","","","","",""
"spaghetti","almonds","french wine","eggs","cake","","","","","","","","","","","","","","",""
"mineral water","eggs","pancakes","","","","","","","","","","","","","","","","",""
"champagne","","","","","","","","","","","","","","","","","","",""
"milk","chocolate","","","","","","","","","","","","","","","","","",""
"grated cheese","herb & pepper","ground beef","spaghetti","butter","cider","bacon","pancakes","soda","napkins","low fat yogurt","green tea","","","","","","","",""
"protein bar","","","","","","","","","","","","","","","","","","",""
"cooking oil","","","","","","","","","","","","","","","","","","",""
"butter","chocolate","","","","","","","","","","","","","","","","","",""
"pancakes","","","","","","","","","","","","","","","","","","",""
"turkey","cooking oil","low fat yogurt","green tea","","","","","","","","","","","","","","","",""
"yams","mineral water","cake","chocolate","french fries","champagne","strawberries","energy drink","tomato juice","mint","green tea","","","","","","","","",""
"burgers","parmesan cheese","chocolate","soup","milk","olive oil","energy bar","butter","almonds","fromage blanc","eggs","cake","pancakes","","","","","","",""
"soup","","","","","","","","","","","","","","","","","","",""
"frozen vegetables","almonds","pancakes","soda","","","","","","","","","","","","","","","",""
"mineral water","muffins","","","","","","","","","","","","","","","","","",""
"burgers","mineral water","","","","","","","","","","","","","","","","","",""
"chocolate","spaghetti","olive oil","almonds","salmon","vegetables mix","frozen smoothie","cottage cheese","yogurt cake","","","","","","","","","","",""
"ground beef","pepper","spaghetti","milk","vegetables mix","burger sauce","green beans","french fries","hot dogs","fresh bread","","","","","","","","","",""
"bramble","","","","","","","","","","","","","","","","","","",""
"shallot","","","","","","","","","","","","","","","","","","",""
"chocolate","mineral water","corn","cottage cheese","green tea","","","","","","","","","","","","","","",""
"chocolate","grated cheese","mineral water","salmon","whole wheat rice","burger sauce","escalope","mushroom cream sauce","low fat yogurt","","","","","","","","","","",""
"dessert wine","mineral water","milk","flax seed","strong cheese","honey","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"tomatoes","butter","gums","cooking oil","chocolate","body spray","green tea","","","","","","","","","","","","",""
"fresh tuna","red wine","spaghetti","mineral water","soup","bacon","pancakes","eggs","cooking oil","","","","","","","","","","",""
"clothes accessories","","","","","","","","","","","","","","","","","","",""
"fromage blanc","ketchup","melons","","","","","","","","","","","","","","","","",""
"frozen vegetables","ground beef","mineral water","honey","green tea","","","","","","","","","","","","","","",""
"strawberries","fresh bread","","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"vegetables mix","eggs","escalope","","","","","","","","","","","","","","","","",""
"fresh tuna","herb & pepper","spaghetti","low fat yogurt","","","","","","","","","","","","","","","",""
"green tea","","","","","","","","","","","","","","","","","","",""
"red wine","ground beef","spaghetti","mineral water","eggs","soda","cooking oil","zucchini","","","","","","","","","","","",""
"frozen vegetables","milk","almonds","whole wheat rice","cooking oil","chocolate","french fries","light mayo","low fat yogurt","","","","","","","","","","",""
"spaghetti","mineral water","","","","","","","","","","","","","","","","","",""
"ground beef","spaghetti","mineral water","milk","cottage cheese","low fat yogurt","","","","","","","","","","","","","",""
"frozen vegetables","avocado","milk","tomato juice","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"herb & pepper","chicken","cookies","","","","","","","","","","","","","","","","",""
"ground beef","","","","","","","","","","","","","","","","","","",""
"rice","chocolate bread","body spray","gluten free bar","fresh bread","","","","","","","","","","","","","","",""
"mineral water","eggplant","french fries","escalope","tomato juice","toothpaste","","","","","","","","","","","","","",""
"herb & pepper","spaghetti","brownies","mint","","","","","","","","","","","","","","","",""
"green tea","french fries","","","","","","","","","","","","","","","","","",""
"whole weat flour","","","","","","","","","","","","","","","","","","",""
"grated cheese","herb & pepper","whole wheat pasta","yams","mineral water","bacon","nonfat milk","spinach","","","","","","","","","","","",""
"burgers","mineral water","salmon","vegetables mix","pancakes","eggs","frozen smoothie","body spray","","","","","","","","","","","",""
"frozen vegetables","honey","corn","pet food","","","","","","","","","","","","","","","",""
"tomatoes","mineral water","soup","olive oil","bug spray","","","","","","","","","","","","","","",""
"fresh tuna","shrimp","ground beef","olive oil","cookies","fresh bread","","","","","","","","","","","","","",""
"low fat yogurt","","","","","","","","","","","","","","","","","","",""
"ground beef","soup","bacon","pancakes","cooking oil","barbecue sauce","green tea","","","","","","","","","","","","",""
"eggs","french fries","","","","","","","","","","","","","","","","","",""
"cake","barbecue sauce","escalope","","","","","","","","","","","","","","","","",""
"antioxydant juice","french fries","champagne","","","","","","","","","","","","","","","","",""
"turkey","","","","","","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"olive oil","light mayo","","","","","","","","","","","","","","","","","",""
"fromage blanc","escalope","pasta","mushroom cream sauce","","","","","","","","","","","","","","","",""
"champagne","","","","","","","","","","","","","","","","","","",""
"parmesan cheese","","","","","","","","","","","","","","","","","","",""
"mineral water","milk","pancakes","","","","","","","","","","","","","","","","",""
"grated cheese","ground beef","spaghetti","mineral water","pancakes","cake","","","","","","","","","","","","","",""
"cake","","","","","","","","","","","","","","","","","","",""
"turkey","eggs","chocolate","","","","","","","","","","","","","","","","",""
"grated cheese","french fries","","","","","","","","","","","","","","","","","",""
"shrimp","tomatoes","carrots","chocolate","low fat yogurt","","","","","","","","","","","","","","",""
"shrimp","mineral water","black tea","rice","cooking oil","chicken","chili","chocolate","","","","","","","","","","","",""
"mineral water","eggs","","","","","","","","","","","","","","","","","",""
"avocado","escalope","light mayo","","","","","","","","","","","","","","","","",""
"champagne","","","","","","","","","","","","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"pancakes","","","","","","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"ham","frozen vegetables","tomatoes","spaghetti","chocolate","cake","","","","","","","","","","","","","",""
"muffins","french fries","escalope","gluten free bar","","","","","","","","","","","","","","","",""
"turkey","honey","cooking oil","","","","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"pancakes","","","","","","","","","","","","","","","","","","",""
"mineral water","milk","chocolate","","","","","","","","","","","","","","","","",""
"ground beef","","","","","","","","","","","","","","","","","","",""
"escalope","","","","","","","","","","","","","","","","","","",""
"frozen vegetables","eggs","honey","hot dogs","light mayo","","","","","","","","","","","","","","",""
"low fat yogurt","","","","","","","","","","","","","","","","","","",""
"spaghetti","milk","frozen smoothie","green tea","","","","","","","","","","","","","","","",""
"fresh tuna","mineral water","pancakes","tea","chocolate","escalope","","","","","","","","","","","","","",""
"avocado","milk","","","","","","","","","","","","","","","","","",""
"ground beef","","","","","","","","","","","","","","","","","","",""
"herb & pepper","frozen vegetables","tomato sauce","mineral water","soup","milk","olive oil","almonds","","","","","","","","","","","",""
"french fries","frozen smoothie","","","","","","","","","","","","","","","","","",""
"muffins","cookies","","","","","","","","","","","","","","","","","",""
"pepper","olive oil","green tea","frozen smoothie","zucchini","","","","","","","","","","","","","","",""
"burgers","red wine","shrimp","mineral water","rice","french fries","strawberries","protein bar","tomato juice","cauliflower","","","","","","","","","",""
"frozen vegetables","tomatoes","mineral water","","","","","","","","","","","","","","","","",""
"grated cheese","shrimp","ground beef","mineral water","chocolate","salt","","","","","","","","","","","","","",""
"mineral water","eggs","cake","","","","","","","","","","","","","","","","",""
"grated cheese","ground beef","whole wheat rice","cake","","","","","","","","","","","","","","","",""
"olive oil","muffins","mint","","","","","","","","","","","","","","","","",""
"ham","tomatoes","ground beef","mineral water","salmon","","","","","","","","","","","","","","",""
"burgers","bacon","eggs","cookies","green tea","","","","","","","","","","","","","","",""
"salmon","cooking oil","carrots","","","","","","","","","","","","","","","","",""
"frozen vegetables","french wine","salmon","pancakes","gums","","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"grated cheese","avocado","french fries","green tea","","","","","","","","","","","","","","","",""
"chocolate","french fries","","","","","","","","","","","","","","","","","",""
"shrimp","ground beef","pepper","spaghetti","pancakes","honey","body spray","","","","","","","","","","","","",""
"whole wheat pasta","hot dogs","","","","","","","","","","","","","","","","","",""
"vegetables mix","french fries","","","","","","","","","","","","","","","","","",""
"frozen vegetables","spaghetti","milk","salmon","cooking oil","carrots","cereals","protein bar","mint","","","","","","","","","","",""
"shrimp","frozen vegetables","mineral water","pancakes","cake","chocolate","hot dogs","","","","","","","","","","","","",""
"escalope","","","","","","","","","","","","","","","","","","",""
"low fat yogurt","","","","","","","","","","","","","","","","","","",""
"eggs","cooking oil","eggplant","","","","","","","","","","","","","","","","",""
"turkey","burgers","pancakes","french fries","strawberries","green tea","","","","","","","","","","","","","",""
"french fries","pancakes","gluten free bar","","","","","","","","","","","","","","","","",""
"sandwich","","","","","","","","","","","","","","","","","","",""
"eggs","cake","low fat yogurt","","","","","","","","","","","","","","","","",""
"ham","ground beef","spaghetti","olive oil","vegetables mix","muffins","","","","","","","","","","","","","",""
"turkey","eggs","honey","","","","","","","","","","","","","","","","",""
"mineral water","milk","","","","","","","","","","","","","","","","","",""
"ground beef","chocolate","escalope","","","","","","","","","","","","","","","","",""
"green beans","chocolate","","","","","","","","","","","","","","","","","",""
"avocado","whole wheat rice","","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"grated cheese","ground beef","pepper","spaghetti","cooking oil","chicken","corn","","","","","","","","","","","","",""
"turkey","fromage blanc","pancakes","honey","whole wheat rice","ketchup","french fries","tomato juice","","","","","","","","","","","",""
"shrimp","frozen vegetables","tomatoes","cottage cheese","","","","","","","","","","","","","","","",""
"spaghetti","","","","","","","","","","","","","","","","","","",""
"chocolate","champagne","","","","","","","","","","","","","","","","","",""
"pancakes","","","","","","","","","","","","","","","","","","",""
"ground beef","mineral water","honey","low fat yogurt","","","","","","","","","","","","","","","",""
"burgers","","","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"shrimp","chocolate","water spray","","","","","","","","","","","","","","","","",""
"butter","whole wheat rice","barbecue sauce","green tea","french fries","salt","","","","","","","","","","","","","",""
"mineral water","milk","cake","whole weat flour","french fries","","","","","","","","","","","","","","",""
"grated cheese","spaghetti","french fries","","","","","","","","","","","","","","","","",""
"mineral water","avocado","muffins","champagne","cookies","body spray","","","","","","","","","","","","","",""
"spaghetti","chicken","","","","","","","","","","","","","","","","","",""
"ham","spaghetti","chocolate","eggs","","","","","","","","","","","","","","","",""
"grated cheese","frozen vegetables","tomato sauce","mineral water","muffins","gluten free bar","light mayo","napkins","shampoo","","","","","","","","","","",""
"candy bars","","","","","","","","","","","","","","","","","","",""
"pasta","","","","","","","","","","","","","","","","","","",""
"eggs","whole wheat rice","cake","green tea","escalope","","","","","","","","","","","","","","",""
"ground beef","spaghetti","mineral water","almonds","eggs","cereals","green tea","","","","","","","","","","","","",""
"burgers","eggs","yogurt cake","","","","","","","","","","","","","","","","",""
"chocolate","","","","","","","","","","","","","","","","","","",""
"burgers","spaghetti","","","","","","","","","","","","","","","","","",""
"whole wheat pasta","mineral water","olive oil","energy bar","frozen smoothie","low fat yogurt","","","","","","","","","","","","","",""
"mineral water","meatballs","","","","","","","","","","","","","","","","","",""
"burgers","milk","eggs","french fries","","","","","","","","","","","","","","","",""
"spaghetti","strong cheese","","","","","","","","","","","","","","","","","",""
"herb & pepper","shrimp","chocolate","frozen smoothie","","","","","","","","","","","","","","","",""
"yogurt cake","","","","","","","","","","","","","","","","","","",""
"fresh tuna","spaghetti","french wine","cake","strawberries","","","","","","","","","","","","","","",""
"yams","mineral water","french fries","","","","","","","","","","","","","","","","",""
"escalope","","","","","","","","","","","","","","","","","","",""
"frozen vegetables","spaghetti","","","","","","","","","","","","","","","","","",""
"red wine","tomatoes","ground beef","spaghetti","mineral water","soup","pancakes","bug spray","burger sauce","oil","cooking oil","corn","green tea","escalope","low fat yogurt","","","","",""
"low fat yogurt","","","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"frozen vegetables","eggs","cake","","","","","","","","","","","","","","","","",""
"milk","","","","","","","","","","","","","","","","","","",""
"turkey","shrimp","frozen vegetables","mineral water","chocolate","olive oil","honey","","","","","","","","","","","","",""
