"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"mineral water","frozen smoothie","","","","","","","","","","","","","","","","","",""
"melons","candy bars","","","","","","","","","","","","","","","","","",""
"tomatoes","chocolate","","","","","","","","","","","","","","","","","",""
"frozen vegetables","spaghetti","mineral water","whole wheat rice","cooking oil","chocolate bread","whole weat flour","brownies","","","","","","","","","","","",""
"chocolate","whole wheat pasta","salmon","green tea","magazines","","","","","","","","","","","","","","",""
"mineral water","chocolate","chicken","","","","","","","","","","","","","","","","",""
"hot dogs","","","","","","","","","","","","","","","","","","",""
"shrimp","spinach","","","","","","","","","","","","","","","","","",""
"pickles","herb & pepper","frozen vegetables","cider","eggs","brownies","pancakes","yogurt cake","green tea","","","","","","","","","","",""
"cereals","salad","","","","","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"chocolate","fresh bread","honey","","","","","","","","","","","","","","","","",""
"fresh tuna","frozen vegetables","spaghetti","mineral water","honey","whole wheat rice","frozen smoothie","escalope","","","","","","","","","","","",""
"champagne","fresh bread","","","","","","","","","","","","","","","","","",""
"burgers","mineral water","cake","hot dogs","cauliflower","","","","","","","","","","","","","","",""
"green grapes","chocolate","","","","","","","","","","","","","","","","","",""
"mineral water","eggs","oil","protein bar","green tea","","","","","","","","","","","","","","",""
"spaghetti","chocolate","frozen smoothie","hot dogs","pancakes","","","","","","","","","","","","","","",""
"escalope","","","","","","","","","","","","","","","","","","",""
"fresh tuna","eggs","escalope","strawberries","","","","","","","","","","","","","","","",""
"melons","","","","","","","","","","","","","","","","","","",""
"eggs","","","","","","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"clothes accessories","protein bar","tomato juice","fresh bread","low fat yogurt","mint","","","","","","","","","","","","","",""
"pasta","","","","","","","","","","","","","","","","","","",""
"shrimp","milk","cake","bug spray","cooking oil","cereals","energy drink","salt","","","","","","","","","","","",""
"frozen vegetables","spaghetti","","","","","","","","","","","","","","","","","",""
"olive oil","hot dogs","","","","","","","","","","","","","","","","","",""
"ground beef","tomato sauce","mineral water","soup","salmon","green grapes","whole weat flour","frozen smoothie","","","","","","","","","","","",""
"ground beef","mineral water","french fries","protein bar","hand protein bar","salt","candy bars","","","","","","","","","","","","",""
"red wine","mineral water","green tea","","","","","","","","","","","","","","","","",""
"cake","cookies","pancakes","low fat yogurt","","","","","","","","","","","","","","","",""
"cake","oatmeal","","","","","","","","","","","","","","","","","",""
"whole wheat pasta","yams","milk","eggs","champagne","","","","","","","","","","","","","","",""
"ground beef","yams","chocolate","olive oil","eggs","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"eggs","tea","","","","","","","","","","","","","","","","","",""
"turkey","escalope","","","","","","","","","","","","","","","","","",""
"turkey","tomatoes","pepper","strong cheese","whole wheat rice","french fries","frozen smoothie","hot dogs","pancakes","babies food","green tea","","","","","","","","",""
"burgers","mineral water","whole wheat rice","","","","","","","","","","","","","","","","",""
"honey","","","","","","","","","","","","","","","","","","",""
"energy bar","nonfat milk","bug spray","chicken","","","","","","","","","","","","","","","",""
"fresh tuna","spaghetti","mineral water","salmon","","","","","","","","","","","","","","","",""
"butter","","","","","","","","","","","","","","","","","","",""
"ground beef","cookies","","","","","","","","","","","","","","","","","",""
"chocolate","red wine","tomatoes","spaghetti","butter","almonds","strong cheese","clothes accessories","green tea","hand protein bar","mint","","","","","","","","",""
"frozen vegetables","mineral water","","","","","","","","","","","","","","","","","",""
"whole wheat pasta","honey","","","","","","","","","","","","","","","","","",""
"shrimp","frozen vegetables","mineral water","vegetables mix","eggs","whole wheat rice","","","","","","","","","","","","","",""
"chocolate","","","","","","","","","","","","","","","","","","",""
"mineral water","energy bar","salmon","cooking oil","shallot","low fat yogurt","","","","","","","","","","","","","",""
"ham","spaghetti","mineral water","olive oil","","","","","","","","","","","","","","","",""
"escalope","","","","","","","","","","","","","","","","","","",""
"tomatoes","spaghetti","mineral water","","","","","","","","","","","","","","","","",""
"avocado","black tea","whole wheat rice","cake","french fries","cottage cheese","tomato juice","green tea","","","","","","","","","","","",""
"eggs","champagne","","","","","","","","","","","","","","","","","",""
"fromage blanc","chocolate","french fries","","","","","","","","","","","","","","","","",""
"candy bars","","","","","","","","","","","","","","","","","","",""
"shrimp","butter","chicken","salmon","","","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"eggs","french fries","cookies","","","","","","","","","","","","","","","","",""
"grated cheese","ground beef","spaghetti","chicken","extra dark chocolate","cereals","hot dogs","brownies","green tea","","","","","","","","","","",""
"shrimp","whole wheat pasta","spaghetti","mineral water","avocado","olive oil","chicken","chocolate","","","","","","","","","","","",""
"herb & pepper","ground beef","yams","mineral water","eggs","cake","oil","chocolate","french fries","cookies","","","","","","","","","",""
"grated cheese","chocolate","french wine","chicken","","","","","","","","","","","","","","","",""
"turkey","","","","","","","","","","","","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"turkey","mineral water","eggs","green tea","hot dogs","cauliflower","","","","","","","","","","","","","",""
"pancakes","","","","","","","","","","","","","","","","","","",""
"french wine","eggs","chicken","light mayo","","","","","","","","","","","","","","","",""
"shrimp","tomatoes","spaghetti","flax seed","salmon","cake","brownies","","","","","","","","","","","","",""
"fresh tuna","mineral water","honey","low fat yogurt","","","","","","","","","","","","","","","",""
"shrimp","frozen vegetables","milk","butter","cake","","","","","","","","","","","","","","",""
"energy bar","brownies","","","","","","","","","","","","","","","","","",""
"tomatoes","chocolate","eggs","pancakes","","","","","","","","","","","","","","","",""
"grated cheese","whole wheat pasta","mineral water","avocado","olive oil","frozen smoothie","light mayo","","","","","","","","","","","","",""
"mineral water","cake","light cream","bug spray","burger sauce","","","","","","","","","","","","","","",""
"chicken","eggs","","","","","","","","","","","","","","","","","",""
"frozen smoothie","","","","","","","","","","","","","","","","","","",""
"chocolate","cookies","","","","","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"tomatoes","spaghetti","soup","milk","olive oil","chicken","green beans","frozen smoothie","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"grated cheese","herb & pepper","mineral water","soup","eggs","cake","","","","","","","","","","","","","",""
"frozen vegetables","meatballs","whole wheat rice","light cream","","","","","","","","","","","","","","","",""
"champagne","","","","","","","","","","","","","","","","","","",""
"red wine","eggs","","","","","","","","","","","","","","","","","",""
"frozen vegetables","tomatoes","ground beef","chocolate","soup","strawberries","pancakes","","","","","","","","","","","","",""
"turkey","honey","cooking oil","green tea","","","","","","","","","","","","","","","",""
"burgers","herb & pepper","mineral water","cake","","","","","","","","","","","","","","","",""
"shrimp","pepper","chili","","","","","","","","","","","","","","","","",""
"butter","chocolate","","","","","","","","","","","","","","","","","",""
"butter","cake","green tea","mushroom cream sauce","mint","","","","","","","","","","","","","","",""
"grated cheese","mineral water","rice","frozen smoothie","","","","","","","","","","","","","","","",""
"whole wheat rice","","","","","","","","","","","","","","","","","","",""
"antioxydant juice","","","","","","","","","","","","","","","","","","",""
"spinach","","","","","","","","","","","","","","","","","","",""
"eggs","","","","","","","","","","","","","","","","","","",""
"cookies","energy drink","","","","","","","","","","","","","","","","","",""
"chocolate","","","","","","","","","","","","","","","","","","",""
"frozen vegetables","whole wheat pasta","mineral water","honey","cooking oil","frozen smoothie","tomato juice","fresh bread","green tea","","","","","","","","","","",""
"ground beef","milk","frozen smoothie","","","","","","","","","","","","","","","","",""
"herb & pepper","chocolate","champagne","yogurt cake","green tea","","","","","","","","","","","","","","",""
"herb & pepper","","","","","","","","","","","","","","","","","","",""
"champagne","","","","","","","","","","","","","","","","","","",""
"yogurt cake","","","","","","","","","","","","","","","","","","",""
"herb & pepper","shrimp","mineral water","","","","","","","","","","","","","","","","",""
"burgers","french fries","cookies","strawberries","","","","","","","","","","","","","","","",""
"burgers","mineral water","cookies","","","","","","","","","","","","","","","","",""
"frozen vegetables","tomatoes","parmesan cheese","mineral water","","","","","","","","","","","","","","","",""
"french fries","cookies","low fat yogurt","","","","","","","","","","","","","","","","",""
"burgers","fresh tuna","spaghetti","mineral water","soup","chicken","fromage blanc","spinach","cake","","","","","","","","","","",""
"mineral water","butter","pancakes","french fries","frozen smoothie","white wine","low fat yogurt","","","","","","","","","","","","",""
"spaghetti","chocolate","soup","salmon","whole wheat rice","tomato juice","","","","","","","","","","","","","",""
"mineral water","olive oil","","","","","","","","","","","","","","","","","",""
"frozen vegetables","ground beef","spaghetti","mineral water","milk","black tea","pancakes","eggs","cooking oil","barbecue sauce","chocolate","","","","","","","","",""
"dessert wine","burgers","cake","frozen smoothie","toothpaste","","","","","","","","","","","","","","",""
"burgers","","","","","","","","","","","","","","","","","","",""
"shrimp","mineral water","mint","","","","","","","","","","","","","","","","",""
"chocolate","escalope","","","","","","","","","","","","","","","","","",""
"herb & pepper","eggs","clothes accessories","french fries","","","","","","","","","","","","","","","",""
"chocolate","frozen vegetables","ground beef","spaghetti","energy bar","green tea","escalope","pasta","","","","","","","","","","","",""
"grated cheese","chutney","eggs","","","","","","","","","","","","","","","","",""
"shrimp","mineral water","black tea","almonds","chicken","eggplant","","","","","","","","","","","","","",""
"soup","avocado","milk","honey","cottage cheese","green tea","","","","","","","","","","","","","",""
"mineral water","milk","","","","","","","","","","","","","","","","","",""
"burgers","dessert wine","strong cheese","french fries","","","","","","","","","","","","","","","",""
"dessert wine","ground beef","pepper","butter","chicken","french fries","zucchini","","","","","","","","","","","","",""
"hand protein bar","","","","","","","","","","","","","","","","","","",""
"burgers","shrimp","tomatoes","mineral water","avocado","pancakes","whole wheat rice","cooking oil","yogurt cake","","","","","","","","","","",""
"grated cheese","shrimp","frozen vegetables","parmesan cheese","ground beef","chicken","antioxydant juice","chocolate","frozen smoothie","escalope","","","","","","","","","",""
"burgers","eggs","green tea","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"burgers","","","","","","","","","","","","","","","","","","",""
"burgers","escalope","shallot","","","","","","","","","","","","","","","","",""
"chocolate","shrimp","mineral water","milk","barbecue sauce","cereals","french fries","low fat yogurt","","","","","","","","","","","",""
"shrimp","green tea","","","","","","","","","","","","","","","","","",""
"ham","milk","chicken","whole wheat rice","ham","eggplant","","","","","","","","","","","","","",""
"mineral water","milk","salmon","","","","","","","","","","","","","","","","",""
"frozen vegetables","parmesan cheese","spaghetti","escalope","sparkling water","","","","","","","","","","","","","","",""
"magazines","","","","","","","","","","","","","","","","","","",""
"pancakes","","","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"french fries","escalope","green tea","","","","","","","","","","","","","","","","",""
"chocolate","","","","","","","","","","","","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"french fries","magazines","mayonnaise","","","","","","","","","","","","","","","","",""
"grated cheese","salmon","","","","","","","","","","","","","","","","","",""
"mushroom cream sauce","","","","","","","","","","","","","","","","","","",""
"ground beef","spaghetti","olive oil","cookies","pasta","green tea","","","","","","","","","","","","","",""
"mineral water","brownies","fresh bread","","","","","","","","","","","","","","","","",""
"pickles","melons","","","","","","","","","","","","","","","","","",""
"burgers","eggs","pancakes","","","","","","","","","","","","","","","","",""
"ground beef","mineral water","chocolate","magazines","","","","","","","","","","","","","","","",""
"energy bar","chocolate","champagne","","","","","","","","","","","","","","","","",""
"cookies","low fat yogurt","","","","","","","","","","","","","","","","","",""
"mineral water","cereals","","","","","","","","","","","","","","","","","",""
"frozen vegetables","mineral water","energy bar","french fries","hot dogs","energy drink","low fat yogurt","","","","","","","","","","","","",""
"green tea","","","","","","","","","","","","","","","","","","",""
"tomatoes","eggs","antioxydant juice","french fries","brownies","gluten free bar","fresh bread","","","","","","","","","","","","",""
"burgers","milk","cream","","","","","","","","","","","","","","","","",""
"babies food","fresh bread","","","","","","","","","","","","","","","","","",""
"mineral water","energy bar","cake","french fries","","","","","","","","","","","","","","","",""
"vegetables mix","muffins","whole wheat rice","","","","","","","","","","","","","","","","",""
"frozen vegetables","whole wheat pasta","spaghetti","chocolate","soup","butter","french wine","pancakes","eggs","","","","","","","","","","",""
"ground beef","spaghetti","pancakes","chicken","mint green tea","chocolate","french fries","escalope","mushroom cream sauce","brownies","yogurt cake","","","","","","","","",""
"burgers","","","","","","","","","","","","","","","","","","",""
"herb & pepper","mineral water","eggs","cake","cereals","brownies","pancakes","tomato juice","low fat yogurt","green tea","","","","","","","","","",""
"pancakes","eggs","french fries","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"tomatoes","ground beef","spaghetti","mineral water","milk","","","","","","","","","","","","","","",""
"ground beef","pancakes","","","","","","","","","","","","","","","","","",""
"red wine","spaghetti","salmon","vegetables mix","cereals","frozen smoothie","","","","","","","","","","","","","",""
"turkey","burgers","frozen vegetables","ground beef","mineral water","cake","","","","","","","","","","","","","",""
"burgers","mineral water","green grapes","barbecue sauce","oatmeal","chocolate","tomato juice","","","","","","","","","","","","",""
"oil","french fries","champagne","cookies","hot dogs","light mayo","tomato juice","green tea","","","","","","","","","","","",""
"turkey","burgers","french wine","french fries","green tea","","","","","","","","","","","","","","",""
"chocolate","asparagus","","","","","","","","","","","","","","","","","",""
"mineral water","soup","avocado","green tea","","","","","","","","","","","","","","","",""
"shrimp","eggs","chocolate","mushroom cream sauce","low fat yogurt","","","","","","","","","","","","","","",""
"grated cheese","ground beef","mineral water","carrots","green tea","","","","","","","","","","","","","","",""
"clothes accessories","french fries","frozen smoothie","escalope","","","","","","","","","","","","","","","",""
"energy drink","","","","","","","","","","","","","","","","","","",""
"tomatoes","mineral water","salmon","chocolate","","","","","","","","","","","","","","","",""
"burgers","yams","mineral water","avocado","energy bar","salmon","pancakes","whole wheat rice","cake","cooking oil","barbecue sauce","green tea","french fries","escalope","","","","","",""
"turkey","ham","mineral water","chocolate","milk","chicken","eggs","cake","","","","","","","","","","","",""
"muffins","","","","","","","","","","","","","","","","","","",""
"burgers","escalope","shallot","","","","","","","","","","","","","","","","",""
"cooking oil","french fries","","","","","","","","","","","","","","","","","",""
"turkey","","","","","","","","","","","","","","","","","","",""
"turkey","burgers","frozen vegetables","ground beef","mineral water","milk","eggs","cake","light mayo","","","","","","","","","","",""
"burgers","mineral water","soup","cereals","","","","","","","","","","","","","","","",""
"energy bar","champagne","","","","","","","","","","","","","","","","","",""
"chocolate","","","","","","","","","","","","","","","","","","",""
"cake","cookies","cottage cheese","toothpaste","","","","","","","","","","","","","","","",""
"chocolate","milk","chicken","strong cheese","cooking oil","green beans","french fries","light mayo","tomato juice","white wine","","","","","","","","","",""
"honey","champagne","cottage cheese","","","","","","","","","","","","","","","","",""
"shrimp","frozen vegetables","","","","","","","","","","","","","","","","","",""
"strawberries","fresh bread","white wine","","","","","","","","","","","","","","","","",""
"mineral water","corn","","","","","","","","","","","","","","","","","",""
"shrimp","spaghetti","soup","whole wheat rice","tomato juice","","","","","","","","","","","","","","",""
"mineral water","salmon","","","","","","","","","","","","","","","","","",""
"frozen vegetables","tomatoes","french fries","champagne","","","","","","","","","","","","","","","",""
"eggs","whole wheat rice","","","","","","","","","","","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"tomatoes","mineral water","","","","","","","","","","","","","","","","","",""
"shrimp","tomatoes","","","","","","","","","","","","","","","","","",""
"tomato juice","","","","","","","","","","","","","","","","","","",""
"cereals","cookies","","","","","","","","","","","","","","","","","",""
"chocolate","salmon","pancakes","gluten free bar","green tea","","","","","","","","","","","","","","",""
"grated cheese","","","","","","","","","","","","","","","","","","",""
"ham","milk","","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"mint green tea","cottage cheese","","","","","","","","","","","","","","","","","",""
"mineral water","honey","frozen smoothie","cottage cheese","body spray","","","","","","","","","","","","","","",""
"grated cheese","herb & pepper","ground beef","","","","","","","","","","","","","","","","",""
"frozen vegetables","ground beef","soup","milk","tea","low fat yogurt","","","","","","","","","","","","","",""
"burgers","eggs","barbecue sauce","french fries","","","","","","","","","","","","","","","",""
"turkey","spaghetti","mineral water","cider","chicken","french fries","escalope","mayonnaise","","","","","","","","","","","",""
"yogurt cake","","","","","","","","","","","","","","","","","","",""
"grated cheese","salmon","cake","champagne","","","","","","","","","","","","","","","",""
"turkey","grated cheese","frozen vegetables","tomatoes","spaghetti","olive oil","energy bar","honey","","","","","","","","","","","",""
"red wine","mineral water","milk","bug spray","green beans","french fries","magazines","","","","","","","","","","","","",""
"mineral water","salmon","yogurt cake","","","","","","","","","","","","","","","","",""
"frozen vegetables","whole wheat pasta","spaghetti","mineral water","milk","olive oil","salmon","green tea","chocolate","french fries","hot dogs","cottage cheese","energy drink","","","","","","",""
"whole wheat pasta","energy bar","","","","","","","","","","","","","","","","","",""
"chili","green beans","pancakes","","","","","","","","","","","","","","","","",""
"red wine","extra dark chocolate","whole weat flour","","","","","","","","","","","","","","","","",""
"frozen vegetables","tomatoes","vegetables mix","hand protein bar","","","","","","","","","","","","","","","",""
"turkey","mineral water","chocolate","","","","","","","","","","","","","","","","",""
"fresh tuna","mineral water","french wine","cereals","","","","","","","","","","","","","","","",""
"cake","","","","","","","","","","","","","","","","","","",""
"eggs","","","","","","","","","","","","","","","","","","",""
"red wine","","","","","","","","","","","","","","","","","","",""
"brownies","","","","","","","","","","","","","","","","","","",""
"turkey","burgers","dessert wine","ground beef","soup","salmon","eggs","gums","tomato juice","candy bars","","","","","","","","","",""
"mineral water","energy drink","","","","","","","","","","","","","","","","","",""
"turkey","yams","black tea","french fries","","","","","","","","","","","","","","","",""
"vegetables mix","french fries","","","","","","","","","","","","","","","","","",""
"whole wheat pasta","","","","","","","","","","","","","","","","","","",""
"fresh tuna","","","","","","","","","","","","","","","","","","",""
"chocolate","champagne","","","","","","","","","","","","","","","","","",""
"ground beef","mineral water","cottage cheese","magazines","","","","","","","","","","","","","","","",""
"fromage blanc","","","","","","","","","","","","","","","","","","",""
"red wine","ground beef","spaghetti","mineral water","milk","olive oil","strong cheese","light cream","cooking oil","","","","","","","","","","",""
"milk","eggs","mint green tea","french fries","cookies","brownies","","","","","","","","","","","","","",""
"chocolate","french fries","mushroom cream sauce","cottage cheese","low fat yogurt","","","","","","","","","","","","","","",""
"flax seed","green tea","","","","","","","","","","","","","","","","","",""
"eggs","","","","","","","","","","","","","","","","","","",""
"burgers","spaghetti","","","","","","","","","","","","","","","","","",""
"burgers","chocolate","french wine","pancakes","","","","","","","","","","","","","","","",""
"eggs","pasta","","","","","","","","","","","","","","","","","",""
"burgers","spaghetti","milk","olive oil","chicken","french fries","tomato juice","magazines","","","","","","","","","","","",""
"chocolate","herb & pepper","spaghetti","mineral water","butter","salmon","rice","burger sauce","extra dark chocolate","protein bar","asparagus","mayonnaise","","","","","","","",""
"muffins","","","","","","","","","","","","","","","","","","",""
"tomatoes","eggs","","","","","","","","","","","","","","","","","",""
"mineral water","vegetables mix","eggs","cake","chicken","french fries","","","","","","","","","","","","","",""
"turkey","spinach","french fries","","","","","","","","","","","","","","","","",""
"yams","avocado","bacon","oil","french fries","brownies","pancakes","zucchini","green tea","","","","","","","","","","",""
"gums","","","","","","","","","","","","","","","","","","",""
"ground beef","mineral water","flax seed","salmon","eggs","honey","","","","","","","","","","","","","",""
"shrimp","frozen vegetables","tomatoes","spaghetti","","","","","","","","","","","","","","","",""
"green tea","champagne","escalope","","","","","","","","","","","","","","","","",""
"ground beef","spaghetti","mineral water","eggs","cake","chocolate","french fries","brownies","body spray","","","","","","","","","","",""
"frozen vegetables","whole wheat pasta","milk","french fries","mushroom cream sauce","","","","","","","","","","","","","","",""
"spaghetti","mineral water","chocolate","milk","energy bar","almonds","cereals","mint","","","","","","","","","","","",""
"frozen vegetables","strong cheese","chocolate","","","","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"burgers","tomatoes","oil","cereals","chocolate","french fries","escalope","champagne","","","","","","","","","","","",""
"chocolate","tomatoes","salmon","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"burgers","cake","","","","","","","","","","","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"eggs","french fries","","","","","","","","","","","","","","","","","",""
"shrimp","milk","butter","cake","chocolate bread","green tea","","","","","","","","","","","","","",""
"turkey","burgers","fresh tuna","spaghetti","pancakes","eggs","cake","cottage cheese","energy drink","gluten free bar","","","","","","","","","",""
"spaghetti","","","","","","","","","","","","","","","","","","",""
"ground beef","spaghetti","cider","cooking oil","cookies","","","","","","","","","","","","","","",""
"turkey","spaghetti","eggs","honey","french fries","champagne","pancakes","protein bar","","","","","","","","","","","",""
"ground beef","spaghetti","mineral water","meatballs","vegetables mix","","","","","","","","","","","","","","",""
"green tea","frozen smoothie","","","","","","","","","","","","","","","","","",""
"burgers","grated cheese","frozen vegetables","spaghetti","milk","escalope","mushroom cream sauce","white wine","","","","","","","","","","","",""
"energy bar","french fries","","","","","","","","","","","","","","","","","",""
"pancakes","mint","","","","","","","","","","","","","","","","","",""
"turkey","burgers","whole wheat pasta","mineral water","milk","whole wheat rice","cake","cooking oil","frozen smoothie","brownies","fresh bread","honey","","","","","","","",""
"herb & pepper","spaghetti","mineral water","pancakes","cooking oil","carrots","chocolate","escalope","low fat yogurt","","","","","","","","","","",""
"turkey","tomatoes","spaghetti","mineral water","chocolate","milk","frozen smoothie","green tea","","","","","","","","","","","",""
"burgers","grated cheese","french wine","eggs","carrots","salt","","","","","","","","","","","","","",""
"pepper","mineral water","","","","","","","","","","","","","","","","","",""
"frozen vegetables","spaghetti","salmon","honey","cake","chicken","french fries","green tea","","","","","","","","","","","",""
"spaghetti","","","","","","","","","","","","","","","","","","",""
"spaghetti","mineral water","milk","eggs","low fat yogurt","","","","","","","","","","","","","","",""
"frozen vegetables","ground beef","spaghetti","pancakes","honey","whole wheat rice","green beans","french fries","frozen smoothie","mashed potato","","","","","","","","","",""
"turkey","tomatoes","low fat yogurt","","","","","","","","","","","","","","","","",""
"turkey","shrimp","green beans","green tea","","","","","","","","","","","","","","","",""
"mineral water","cooking oil","","","","","","","","","","","","","","","","","",""
"shrimp","mineral water","gums","","","","","","","","","","","","","","","","",""
"burgers","milk","eggs","","","","","","","","","","","","","","","","",""
"frozen vegetables","tomatoes","ground beef","mineral water","milk","energy bar","pancakes","honey","whole weat flour","french fries","","","","","","","","","",""
"eggs","","","","","","","","","","","","","","","","","","",""
"chocolate","","","","","","","","","","","","","","","","","","",""
"burgers","spaghetti","energy bar","eggs","mushroom cream sauce","yogurt cake","green tea","","","","","","","","","","","","",""
"cookies","low fat yogurt","","","","","","","","","","","","","","","","","",""
"burgers","tomatoes","ground beef","escalope","","","","","","","","","","","","","","","",""
"chocolate","cider","vegetables mix","pancakes","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"chocolate","ground beef","spaghetti","mineral water","salmon","pancakes","whole wheat rice","green beans","","","","","","","","","","","",""
"hot dogs","shampoo","","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"eggs","","","","","","","","","","","","","","","","","","",""
"low fat yogurt","","","","","","","","","","","","","","","","","","",""
"grated cheese","spaghetti","olive oil","eggs","french fries","green tea","","","","","","","","","","","","","",""
"turkey","mineral water","pancakes","eggs","light cream","barbecue sauce","cereals","cottage cheese","","","","","","","","","","","",""
"frozen vegetables","whole wheat pasta","ground beef","spaghetti","milk","chicken","eggs","french fries","green tea","","","","","","","","","","",""
"cooking oil","","","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"cake","","","","","","","","","","","","","","","","","","",""
"mineral water","cookies","","","","","","","","","","","","","","","","","",""
"mineral water","chocolate","french fries","cookies","","","","","","","","","","","","","","","",""
"whole wheat rice","chocolate bread","antioxydant juice","","","","","","","","","","","","","","","","",""
"frozen smoothie","","","","","","","","","","","","","","","","","","",""
"olive oil","","","","","","","","","","","","","","","","","","",""
"fresh tuna","turkey","herb & pepper","spaghetti","mineral water","mint","","","","","","","","","","","","","",""
"frozen vegetables","tomatoes","ground beef","spaghetti","mineral water","chocolate","","","","","","","","","","","","","",""
"shrimp","ground beef","eggs","","","","","","","","","","","","","","","","",""
"hot dogs","","","","","","","","","","","","","","","","","","",""
"green tea","","","","","","","","","","","","","","","","","","",""
"ground beef","","","","","","","","","","","","","","","","","","",""
"frozen smoothie","hot dogs","","","","","","","","","","","","","","","","","",""
"energy bar","pancakes","champagne","","","","","","","","","","","","","","","","",""
